Title,ISSN
Leadership Quarterly,10489843
Life,20751729
Life Sciences,243205
Linguistic Inquiry,243892
Machines,20751702
Macromolecules,249297
Mammalian Biology,16165047
Management Decision,251747
Manufacturing Letters,22138463
Marine and Freshwater Research,13231650
Marketing Education Review,10528008
Materials,19961944
Materials Advances,26335409
Maternal and Child Health Journal,10927875
Mathematical Biosciences,255564
Mathematical Biosciences and Engineering,15471063
Mathematical Medicine and Biology,14778599
Mathematical Methods in the Applied Sciences,1704214
Mathematical Modelling and Analysis,13926292
Mathematics,22277390
Mathematische Zeitschrift,255874
Measurement Science and Technology,9570233
Measurement: Journal of the International Measurement Confederation,2632241
Meat and Muscle Biology,2575985X
Meat Science,3091740
Media Psychology,15213269
"Media, War and Conflict",17506352
Medical and Veterinary Entomology,0269283X
Medical Education Online,10872981
Medicina (Lithuania),1010660X
Medicina Clinica Practica,26039249
Medicinal Chemistry Research,10542523
Medicine and Science in Sports and Exercise,1959131
Medievalia et Humanistica,766127
Memory Studies,17506980
Menopause,10723714
Metabolites,22181989
Meteorology and Atmospheric Physics,1777971
Methods,10462023
MethodsX,22150161
Metron,261424
Microbiology Spectrum,21650497
Microorganisms,20762607
Microporous and Mesoporous Materials,13871811
Military Psychology,8995605
"Mind, Brain, and Education",17512271
Mindfulness,18688527
Minerals,2075163X
MIT Sloan Management Review,15329194
MMWR Recommendations and Reports,10575987
Modern Drama,267694
Modern Language Journal,267902
Molecular Ecology,9621083
Molecular Ecology Resources,1755098X
Molecular Human Reproduction,13609947
Molecular Nutrition and Food Research,16134125
Molecular Phylogenetics and Evolution,10557903
Molecules,14203049
Monthly Notices of the Royal Astronomical Society,358711
Monthly Notices of the Royal Astronomical Society: Letters,17453925
Motor Control,10871640
MRS Communications,21596859
Multibody System Dynamics,13845640
Multimedia Tools and Applications,13807501
Multimodal Technologies and Interaction,24144088
Museum Management and Curatorship,9647775
Nano Letters,15306984
Nanomaterials,20794991
Nanophotonics,21928614
National Science Review,20955138
Natural Hazards,0921030X
Nature Astronomy,23973366
Nature Communications,20411723
Nature Food,26621355
Nature Microbiology,20585276
Nature Nanotechnology,17483387
Nature Physics,17452473
Nature Sustainability,23989629
Neural Computing and Applications,9410643
Neurobiology of Aging,1974580
Neurocomputing,9252312
Neurology,283878
Neuropsychology,8944105
Neuroradiology,283940
Neurosurgery,15244040
New Educator,15499243
New Phytologist,0028646X
"Nonlinear Analysis, Theory, Methods and Applications",0362546X
Nonlinear Differential Equations and Applications,10219722
Norwegian Archaeological Review,293652
Notices of the American Mathematical Society,29920
Nous,294624
npj Biofilms and Microbiomes,20555008
npj Microgravity,23738065
npj Quantum Materials,23974648
Numerical Methods for Partial Differential Equations,0749159X
Nursing,3604039
Nursing Management,7446314
Nutrients,20726643
Nutrition and Cancer,1635581
Nutrition Reviews,296643
Nutritional Neuroscience,1028415X
Obesity Medicine,24518476
Oecologia,298549
Oikos,301299
Open Agriculture,23919531
Open Archaeology,23006560
Operations Research Letters,1676377
Optical Materials Express,21593930
Optics and Laser Technology,303992
Optics Letters,1469592
Optometry and Vision Science,10405488
OR Spectrum,1716468
Organic Geochemistry,1466380
Organometallics,2767333
Orthopedics,1477447
Pacific Journal of Mathematics,308730
PaleoAmerica,20555563
Papers in Palaeontology,20562802
Parasites and Vectors,17563305
Partial Differential Equations in Applied Mathematics,26668181
Participatory Educational Research,21486123
Pathogens,20760817
Peabody Journal of Education,0161956X
PeerJ,21678359
Personality and Individual Differences,1918869
Perspectives on Behavior Science,25208969
Perspectives on Psychological Science,17456916
Pharmaceutical Research,7248741
Pharmaceuticals,14248247
Pharmaceutics,19994923
Philosophical Magazine Letters,9500839
Philosophical Quarterly,318094
Physical Chemistry Chemical Physics,14639076
Physical Review D,24700010
Physical Review E,24700045
Physical Review Letters,319007
"Physics Letters, Section A: General, Atomic and Solid State Physics",3759601
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",3702693
Physics of Fluids,10706631
Physics of Plasmas,1070664X
Physiological and Biochemical Zoology,15222152
Physiological Reports,2051817X
Physiological Research,8628408
Physiology and Behavior,319384
Physiotherapy Theory and Practice,9593985
Phytomedicine,9447113
Phyton-International Journal of Experimental Botany,319457
Phytopathology,0031949X
Plains Anthropologist,320447
Plan Journal,25317644
Planetary and Space Science,320633
Planetary Science Journal,26323338
Plant and Cell Physiology,320781
Plant and Soil,0032079X
Plant Biology,14358603
Plant Genome,19403372
Plant Physiology,320889
Planta,320935
Plants,22237747
PLoS ONE,19326203
PLoS Pathogens,15537366
Political Behavior,1909320
Political Communication,10584609
Political Research Quarterly,10659129
Polymer Chemistry,17599954
Polymer Engineering and Science,323888
Polymers,20734360
Popular Communication,15405702
Porta Linguarum,16977467
Postgraduate Medicine,325481
Precision Agriculture,13852256
Presidential Studies Quarterly,3604918
Preventive Veterinary Medicine,1675877
Primary Care Companion for CNS Disorders,21557772
Proceedings of the Edinburgh Mathematical Society,130915
"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",9544119
Proceedings of the National Academy of Sciences of the United States of America,278424
Proceedings of the Royal Society B: Biological Sciences,9628452
Process Safety and Environmental Protection,9575820
Processes,22279717
Professional Development in Education,19415257
Progress in Biomaterials,21940509
Progress of Theoretical and Experimental Physics,20503911
"Propellants, Explosives, Pyrotechnics",7213115
Prospects,331538
Prostate,2704137
Prosthetics and Orthotics International,3093646
Psychiatria Danubina,3535053
Psychological Science,9567976
Psychological Services,15411559
"Psychological Trauma: Theory, Research, Practice, and Policy",19429681
Psychology and Sexuality,19419899
Psychology of Addictive Behaviors,0893164X
Psychology of Men and Masculinity,15249220
Psychology of Music,3057356
Psychology of Popular Media,26896567
Psychology of Sexual Orientation and Gender Diversity,23290382
Psychopharmacology,333158
Public Choice,485829
Public Finance Review,10911421
Public Management Review,14719037
Public Performance and Management Review,15309576
Public Relations Review,3638111
Public Understanding of Science,9636625
Qualitative Report,21603715
Rationality and Society,10434631
Reading Research Quarterly,340553
Rehabilitation Counseling Bulletin,343552
Rehabilitation Psychology,905550
Religions,20771444
Remote Sensing,20724292
Remote Sensing of Environment,344257
Renewable Agriculture and Food Systems,17421705
Renewable Energy,9601481
Research,20965168
Research in Number Theory,23639555
Research in Science Education,0157244X
Research on Chemical Intermediates,9226168
Residential Treatment for Children and Youth,0886571X
Resources Policy,3014207
Respiratory Physiology and Neurobiology,15699048
Review of Quantitative Finance and Accounting,0924865X
Review of Regional Studies,0048749X
Revista Mexicana de Biodiversidad,18703453
Rheologica Acta,354511
Rice,19398425
Risk Analysis,2724332
River Research and Applications,15351459
RNA,13558382
Rock Music Studies,19401159
RSC Advances,20462069
"SAE International Journal of Vehicle Dynamics, Stability, and NVH",23802162
Safety Science,9257535
SAGE Open,21582440
Scandinavian Journal of the Old Testament,9018328
School Psychology Review,2796015
School Science and Mathematics,366803
Science,368075
Science Advances,23752548
Science of the Total Environment,489697
Scientific African,24682276
Scientific Data,20524463
Scientific Reports,20452322
Sensors,14248220
SERIES: International Journal of TV Serial Narratives,2421454X
Sex Roles,3600025
SIAM Journal on Mathematical Analysis,361410
Sleep Medicine,13899457
Small Business Economics,0921898X
Smart Health,23526483
SN Applied Sciences,25233971
Social Cognitive and Affective Neuroscience,17495016
Social Media and Society,20563051
Social Work in Public Health,19371918
Society,1472011
Solar Energy,0038092X
South African Journal of Clinical Nutrition,16070658
Southern Communication Journal,1041794X
Southern Economic Journal,384038
Southern Medical Journal,384348
Southwestern Naturalist,384909
Space Policy,2659646
SPE Journal,1086055X
Spinal Cord,13624393
Sport Management Review,14413523
Sports,20754663
Sports Health,19417381
St. Petersburg Mathematical Journal,10610022
Stochastic Processes and their Applications,3044149
Strategic Organization,14761270
Stratigraphy,1547139X
Strength and Conditioning Journal,15241602
Stress Biology,27310450
Studies in Comparative International Development,393606
Studies in Regional Science,2876256
Studies in Second Language Learning and Teaching,20835205
Study Abroad Research in Second Language Acquisition and International Education,24055522
Surface Innovations,20506252
Sustainability (Switzerland),20711050
Sustainable Cities and Society,22106707
Sustainable Development,9680802
Sustainable Production and Consumption,23525509
Symmetry,20738994
Systematic Biology,10635157
Systematics and Biodiversity,14772000
Systems,20798954
Teacher Development,13664530
Teacher Educator,8878730
Teaching and Teacher Education,0742051X
Technical Communication,493155
Technical Communication Quarterly,10572252
TechTrends,87563894
The Lancet Planetary Health,25425196
Theoretical and Applied Climatology,0177798X
"Theory, Culture and Society",2632764
Theriogenology,0093691X
Topology and its Applications,1668641
Topology Proceedings,1464124
Tourism Review International,15442721
Toxicology Reports,22147500
Toxics,23056304
Training and Education in Professional Psychology,19313918
Transdisciplinary Journal of Engineering and Science,19490569
Translational Animal Science,25732102
Transplantation Proceedings,411345
Transportation Geotechnics,22143912
Transportation Research Part A: Policy and Practice,9658564
Tropical Medicine and Infectious Disease,24146366
Ultrasonics Sonochemistry,13504177
Universal Access in the Information Society,16155289
Vaccine,0264410X
Vaccines,2076393X
Vacuum,0042207X
Vehicle System Dynamics,423114
Vehicular Communications,22142096
Veterinary Journal,10900233
Veterinary Record,424900
Vibrational Spectroscopy,9242031
Violence Against Women,10778012
Violence and Victims,8866708
Viruses,19994915
Visual Communication,14703572
Visual Journal of Emergency Medicine,24054690
Water (Switzerland),20734441
Water Resources Research,431397
Water Science and Technology,2731223
Webbia,837792
Weed Technology,0890037X
Western North American Naturalist,15270904
Wireless Communications and Mobile Computing,15308669
World Economy,3785920
WSEAS Transactions on Business and Economics,11099526
Zeitschrift fur Angewandte Mathematik und Physik,442275
Zeitschrift fur Kristallographie - New Crystal Structures,14337266
Zoologica Scripta,3003256
Zootaxa,11755326
